factuurnummer,klantnummer,factuurdatum,bedrag_incl_btw,journaal_id,businesslijn,transactienummer
VK001444,C10002,2016-01-22,1197.9,70,Verkoopboek ordermanagement,14633
VK001445,C10002,2016-01-22,258.34,70,Verkoopboek ordermanagement,14635
VK001446,C10025,2016-01-22,4065.6,70,Verkoopboek ordermanagement,14636
VK001447,C10037,2016-01-22,199.65,70,Verkoopboek ordermanagement,14638
VK001448,C10042,2016-01-22,2830.19,70,Verkoopboek ordermanagement,14640
VK001449,C10044,2016-01-22,25.41,70,Verkoopboek ordermanagement,14642
VK001450,C10046,2016-01-22,6703.4,70,Verkoopboek ordermanagement,14644
VK001451,C10065,2016-01-22,1671.98,70,Verkoopboek ordermanagement,14646
VK001452,C10076,2016-01-22,1439.9,70,Verkoopboek ordermanagement,14648
VK001453,C10087,2016-01-22,242,70,Verkoopboek ordermanagement,14650
VK001454,C10095,2016-01-22,1062.38,70,Verkoopboek ordermanagement,14652
VK001455,C10115,2016-01-22,152.46,70,Verkoopboek ordermanagement,14654
VK001456,C10121,2016-01-22,617.1,70,Verkoopboek ordermanagement,14656
VK001457,C10134,2016-01-22,1270.5,70,Verkoopboek ordermanagement,14658
VK001458,C10139,2016-01-22,477.95,70,Verkoopboek ordermanagement,14660
VK001459,C10155,2016-01-22,4173.29,70,Verkoopboek ordermanagement,14662
VK001460,C10162,2016-01-22,4356,70,Verkoopboek ordermanagement,14664
VK001461,C10173,2016-01-22,870.66,70,Verkoopboek ordermanagement,14666
VK001462,C20675,2016-01-22,3039.8,70,Verkoopboek ordermanagement,14667
VK001463,C20922,2016-01-22,669,70,Verkoopboek ordermanagement,14668
VK001464,C24585,2016-01-22,1400,70,Verkoopboek ordermanagement,14670
VK001465,C10016,2016-01-29,595.32,70,Verkoopboek ordermanagement,14672
VK001466,C10030,2016-01-29,312.18,70,Verkoopboek ordermanagement,14674
VK001467,C10042,2016-01-29,901.45,70,Verkoopboek ordermanagement,14676
VK001468,C10003,2016-01-29,453.75,70,Verkoopboek ordermanagement,14678
VK001469,C10078,2016-01-29,1899.7,70,Verkoopboek ordermanagement,14680
VK001470,C10100,2016-01-29,361.67,70,Verkoopboek ordermanagement,14682
VK001471,C10104,2016-01-29,269.83,70,Verkoopboek ordermanagement,14684
VK001472,C10105,2016-01-29,5246.56,70,Verkoopboek ordermanagement,14686
VK001473,C10109,2016-01-29,51.67,70,Verkoopboek ordermanagement,14688
VK001474,C10118,2016-01-29,4573.8,70,Verkoopboek ordermanagement,14689
VK001475,C10131,2016-01-29,1633.5,70,Verkoopboek ordermanagement,14691
VK001476,C10137,2016-01-29,1009.14,70,Verkoopboek ordermanagement,14693
VK001477,C10160,2016-01-29,2064.26,70,Verkoopboek ordermanagement,14695
VK001478,C10180,2016-01-29,87.12,70,Verkoopboek ordermanagement,14697
VK001479,C10181,2016-01-29,1136.7,70,Verkoopboek ordermanagement,14699
VK001480,C22020,2016-01-29,680,70,Verkoopboek ordermanagement,14701
VK001481,C23450,2016-01-29,32,70,Verkoopboek ordermanagement,14703
VK001482,C10050,2016-02-05,164.56,70,Verkoopboek ordermanagement,15181
VK001483,C10018,2016-02-05,315.81,70,Verkoopboek ordermanagement,15183
VK001484,C10029,2016-02-05,522.72,70,Verkoopboek ordermanagement,15185
VK001485,C10031,2016-02-05,1262.28,70,Verkoopboek ordermanagement,15187
VK001486,C10033,2016-02-05,4249.52,70,Verkoopboek ordermanagement,15189
VK001487,C10042,2016-02-05,165.77,70,Verkoopboek ordermanagement,15191
VK001488,C10045,2016-02-05,104.06,70,Verkoopboek ordermanagement,15193
VK001489,C10046,2016-02-05,8555.91,70,Verkoopboek ordermanagement,15195
VK001490,C10054,2016-02-05,756.25,70,Verkoopboek ordermanagement,15197
VK001491,C10061,2016-02-05,484,70,Verkoopboek ordermanagement,15199
VK001492,C10062,2016-02-05,4749.25,70,Verkoopboek ordermanagement,15201
VK001493,C10066,2016-02-05,359.37,70,Verkoopboek ordermanagement,15203
VK001494,C10079,2016-02-05,394.46,70,Verkoopboek ordermanagement,15205
VK001495,C10118,2016-02-05,5408.7,70,Verkoopboek ordermanagement,15207
VK001496,C10122,2016-02-05,2926.55,70,Verkoopboek ordermanagement,15209
VK001497,C10128,2016-02-05,2101.77,70,Verkoopboek ordermanagement,15211
VK001498,C10128,2016-02-05,453.75,70,Verkoopboek ordermanagement,15213
VK001499,C10128,2016-02-05,203.28,70,Verkoopboek ordermanagement,15215
VK001500,C10129,2016-02-05,5263.5,70,Verkoopboek ordermanagement,15217
VK001501,C10130,2016-02-05,284.35,70,Verkoopboek ordermanagement,15219
VK001502,C10138,2016-02-05,261.36,70,Verkoopboek ordermanagement,15221
VK001503,C10139,2016-02-05,205.7,70,Verkoopboek ordermanagement,15223
VK001504,C10140,2016-02-05,290.4,70,Verkoopboek ordermanagement,15225
VK001505,C10141,2016-02-05,10559.67,70,Verkoopboek ordermanagement,15227
VK001506,C10145,2016-02-05,205.7,70,Verkoopboek ordermanagement,15229
VK001507,C10147,2016-02-05,2014.65,70,Verkoopboek ordermanagement,15230
VK001508,C10158,2016-02-05,272.25,70,Verkoopboek ordermanagement,15232
VK001509,C10159,2016-02-05,119.79,70,Verkoopboek ordermanagement,15234
VK001510,C10161,2016-02-05,638.88,70,Verkoopboek ordermanagement,15236
VK001511,C10174,2016-02-05,9.68,70,Verkoopboek ordermanagement,15238
VK001512,C10176,2016-02-05,718.74,70,Verkoopboek ordermanagement,15240
VK001513,C10181,2016-02-05,968,70,Verkoopboek ordermanagement,15242
VK001514,C22910,2016-02-05,238,70,Verkoopboek ordermanagement,15244
VK001515,C10000,2016-02-12,359.37,70,Verkoopboek ordermanagement,15246
VK001516,C10185,2016-02-12,645.84,70,Verkoopboek ordermanagement,15248
VK001517,C10006,2016-02-12,87.12,70,Verkoopboek ordermanagement,15250
VK001518,C10009,2016-02-12,423.5,70,Verkoopboek ordermanagement,15252
VK001519,C10011,2016-02-12,17.97,70,Verkoopboek ordermanagement,15254
VK001520,C10013,2016-02-12,4230.69,70,Verkoopboek ordermanagement,15255
VK001521,C10030,2016-02-12,784.08,70,Verkoopboek ordermanagement,15257
VK001522,C10032,2016-02-12,152.46,70,Verkoopboek ordermanagement,15259
VK001523,C10036,2016-02-12,756.25,70,Verkoopboek ordermanagement,15261
VK001524,C10048,2016-02-12,2904,70,Verkoopboek ordermanagement,15263
VK001525,C10049,2016-02-12,1421.75,70,Verkoopboek ordermanagement,15265
VK001526,C10051,2016-02-12,635.25,70,Verkoopboek ordermanagement,15267
VK001527,C10055,2016-02-12,260.15,70,Verkoopboek ordermanagement,15269
VK001528,C10059,2016-02-12,794.37,70,Verkoopboek ordermanagement,15271
VK001529,C10063,2016-02-12,516.67,70,Verkoopboek ordermanagement,15273
VK001530,C10064,2016-02-12,542.83,70,Verkoopboek ordermanagement,15275
VK001531,C10070,2016-02-12,719.95,70,Verkoopboek ordermanagement,15277
VK001532,C10076,2016-02-12,1806.53,70,Verkoopboek ordermanagement,15278
VK001533,C10084,2016-02-12,5412.33,70,Verkoopboek ordermanagement,15280
VK001534,C10086,2016-02-12,1575.42,70,Verkoopboek ordermanagement,15282
VK001535,C10089,2016-02-12,358.16,70,Verkoopboek ordermanagement,15284
VK001536,C10099,2016-02-12,1506.45,70,Verkoopboek ordermanagement,15286
VK001537,C10103,2016-02-12,329.12,70,Verkoopboek ordermanagement,15288
VK001538,C10108,2016-02-12,490.05,70,Verkoopboek ordermanagement,15290
VK001539,C10121,2016-02-12,5136.45,70,Verkoopboek ordermanagement,15292
VK001540,C10131,2016-02-12,401.72,70,Verkoopboek ordermanagement,15294
VK001541,C10133,2016-02-12,2541,70,Verkoopboek ordermanagement,15296
VK001542,C10138,2016-02-12,1125.3,70,Verkoopboek ordermanagement,15298
VK001543,C10143,2016-02-12,453.75,70,Verkoopboek ordermanagement,15300
VK001544,C10147,2016-02-12,1689.16,70,Verkoopboek ordermanagement,15302
VK001545,C10151,2016-02-12,1802.9,70,Verkoopboek ordermanagement,15304
VK001546,C10156,2016-02-12,269.83,70,Verkoopboek ordermanagement,15306
VK001547,C10167,2016-02-12,2342.56,70,Verkoopboek ordermanagement,15308
VK001548,C10178,2016-02-12,689.52,70,Verkoopboek ordermanagement,15310
VK001549,C10014,2016-02-19,3999.05,70,Verkoopboek ordermanagement,15312
VK001550,C10034,2016-02-19,5725.72,70,Verkoopboek ordermanagement,15314
VK001551,C10040,2016-02-19,602.11,70,Verkoopboek ordermanagement,15316
VK001552,C10056,2016-02-19,211.75,70,Verkoopboek ordermanagement,15318
VK001553,C10061,2016-02-19,907.5,70,Verkoopboek ordermanagement,15320
VK001554,C10067,2016-02-19,251.68,70,Verkoopboek ordermanagement,15322
VK001555,C10005,2016-02-19,223.85,70,Verkoopboek ordermanagement,15324
VK001556,C10069,2016-02-19,308.55,70,Verkoopboek ordermanagement,15326
VK001557,C10079,2016-02-19,150.04,70,Verkoopboek ordermanagement,15328
VK001558,C10087,2016-02-19,77.44,70,Verkoopboek ordermanagement,15330
VK001559,C10093,2016-02-19,3270.63,70,Verkoopboek ordermanagement,15332
VK001560,C10103,2016-02-19,2507.12,70,Verkoopboek ordermanagement,15334
VK001561,C10109,2016-02-19,5595.61,70,Verkoopboek ordermanagement,15336
VK001562,C10118,2016-02-19,423.5,70,Verkoopboek ordermanagement,15338
VK001563,C10120,2016-02-19,119.79,70,Verkoopboek ordermanagement,15340
VK001564,C10123,2016-02-19,58.08,70,Verkoopboek ordermanagement,15342
VK001565,C10134,2016-02-19,3630,70,Verkoopboek ordermanagement,15344
VK001566,C10144,2016-02-19,983.73,70,Verkoopboek ordermanagement,15346
VK001567,C10163,2016-02-19,1055.73,70,Verkoopboek ordermanagement,15348
VK001568,C10176,2016-02-19,8499.04,70,Verkoopboek ordermanagement,15350
VK001569,C10008,2016-02-26,1361.25,70,Verkoopboek ordermanagement,15352
VK001570,C10071,2016-02-26,3472.7,70,Verkoopboek ordermanagement,15354
VK001571,C10106,2016-02-26,1785.96,70,Verkoopboek ordermanagement,15356
VK001572,C10110,2016-02-26,5717.25,70,Verkoopboek ordermanagement,15358
VK001573,C10111,2016-02-26,206.67,70,Verkoopboek ordermanagement,15360
VK001574,C10112,2016-02-26,3041.94,70,Verkoopboek ordermanagement,15361
VK001575,C10114,2016-02-26,896.61,70,Verkoopboek ordermanagement,15363
VK001576,C10117,2016-02-26,4906.55,70,Verkoopboek ordermanagement,15365
VK001577,C10137,2016-02-26,2736.42,70,Verkoopboek ordermanagement,15367
VK001578,C10168,2016-02-26,2553.1,70,Verkoopboek ordermanagement,15368
VK001580,C10024,2016-03-04,842.16,70,Verkoopboek ordermanagement,15903
VK001581,C10012,2016-03-04,2238.5,70,Verkoopboek ordermanagement,15905
VK001582,C10022,2016-03-04,283.14,70,Verkoopboek ordermanagement,15907
VK001583,C10037,2016-03-04,152.97,70,Verkoopboek ordermanagement,15909
VK001584,C10038,2016-03-04,21.78,70,Verkoopboek ordermanagement,15911
VK001585,C10003,2016-03-04,6243.6,70,Verkoopboek ordermanagement,15913
VK001586,C10053,2016-03-04,3799.4,70,Verkoopboek ordermanagement,15915
VK001587,C10066,2016-03-04,290.4,70,Verkoopboek ordermanagement,15917
VK001588,C10067,2016-03-04,532.4,70,Verkoopboek ordermanagement,15919
VK001589,C10074,2016-03-04,8766.45,70,Verkoopboek ordermanagement,15921
VK001590,C10097,2016-03-04,268.62,70,Verkoopboek ordermanagement,15923
VK001591,C10108,2016-03-04,101.64,70,Verkoopboek ordermanagement,15925
VK001592,C10109,2016-03-04,809.49,70,Verkoopboek ordermanagement,15927
VK001593,C10129,2016-03-04,35.94,70,Verkoopboek ordermanagement,15929
VK001594,C10138,2016-03-04,314.3,70,Verkoopboek ordermanagement,15930
VK001595,C10147,2016-03-04,4733.71,70,Verkoopboek ordermanagement,15931
VK001596,C10151,2016-03-04,5408.7,70,Verkoopboek ordermanagement,15933
VK001597,C10151,2016-03-04,2652.32,70,Verkoopboek ordermanagement,15935
VK001598,C10158,2016-03-04,185.13,70,Verkoopboek ordermanagement,15937
VK001599,C10160,2016-03-04,718.74,70,Verkoopboek ordermanagement,15939
VK001600,C10170,2016-03-04,119.79,70,Verkoopboek ordermanagement,15941
VK001601,C10178,2016-03-04,1149.2,70,Verkoopboek ordermanagement,15943
VK001579,C10129,2016-03-08,1842.71,70,Verkoopboek ordermanagement,16067
VK001602,C10185,2016-03-11,43.56,70,Verkoopboek ordermanagement,15945
VK001603,C10009,2016-03-11,123.42,70,Verkoopboek ordermanagement,15947
VK001604,C10014,2016-03-11,1738.47,70,Verkoopboek ordermanagement,15949
VK001605,C10031,2016-03-11,156.09,70,Verkoopboek ordermanagement,15951
VK001606,C10045,2016-03-11,62.92,70,Verkoopboek ordermanagement,15953
VK001607,C10046,2016-03-11,156.09,70,Verkoopboek ordermanagement,15955
VK001608,C10055,2016-03-11,308.55,70,Verkoopboek ordermanagement,15957
VK001609,C10056,2016-03-11,356.93,70,Verkoopboek ordermanagement,15959
VK001610,C10064,2016-03-11,2065.47,70,Verkoopboek ordermanagement,15961
VK001611,C10070,2016-03-11,913.55,70,Verkoopboek ordermanagement,15963
VK001612,C10077,2016-03-11,205.7,70,Verkoopboek ordermanagement,15965
VK001613,C10092,2016-03-11,1873.23,70,Verkoopboek ordermanagement,15967
VK001614,C10099,2016-03-11,30.25,70,Verkoopboek ordermanagement,15969
VK001615,C10110,2016-03-11,6648.95,70,Verkoopboek ordermanagement,15971
VK001616,C10121,2016-03-11,617.1,70,Verkoopboek ordermanagement,15973
VK001617,C10125,2016-03-11,269.83,70,Verkoopboek ordermanagement,15975
VK001618,C10131,2016-03-11,1045.44,70,Verkoopboek ordermanagement,15977
VK001619,C10135,2016-03-11,1253.39,70,Verkoopboek ordermanagement,15979
VK001620,C10145,2016-03-11,58.08,70,Verkoopboek ordermanagement,15981
VK001621,C10149,2016-03-11,631.62,70,Verkoopboek ordermanagement,15983
VK001622,C10156,2016-03-11,2860.26,70,Verkoopboek ordermanagement,15985
VK001623,C10050,2016-03-18,386.96,70,Verkoopboek ordermanagement,15987
VK001624,C10008,2016-03-18,586.97,70,Verkoopboek ordermanagement,15988
VK001625,C10013,2016-03-18,1453.21,70,Verkoopboek ordermanagement,15990
VK001626,C10016,2016-03-18,208.12,70,Verkoopboek ordermanagement,15992
VK001627,C10020,2016-03-18,3865.95,70,Verkoopboek ordermanagement,15994
VK001628,C10029,2016-03-18,847.91,70,Verkoopboek ordermanagement,15996
VK001629,C10037,2016-03-18,5712.41,70,Verkoopboek ordermanagement,15998
VK001630,C10057,2016-03-18,479.16,70,Verkoopboek ordermanagement,16000
VK001631,C10061,2016-03-18,358.11,70,Verkoopboek ordermanagement,16002
VK001632,C10067,2016-03-18,677.18,70,Verkoopboek ordermanagement,16004
VK001633,C10071,2016-03-18,5412.33,70,Verkoopboek ordermanagement,16005
VK001634,C10084,2016-03-18,631.62,70,Verkoopboek ordermanagement,16007
VK001635,C10086,2016-03-18,3678.16,70,Verkoopboek ordermanagement,16009
VK001636,C10089,2016-03-18,4023.25,70,Verkoopboek ordermanagement,16010
VK001637,C10098,2016-03-18,4830.32,70,Verkoopboek ordermanagement,16012
VK001638,C10105,2016-03-18,4682.7,70,Verkoopboek ordermanagement,16014
VK001639,C10106,2016-03-18,544.5,70,Verkoopboek ordermanagement,16016
VK001640,C10132,2016-03-18,632.83,70,Verkoopboek ordermanagement,16018
VK001641,C10134,2016-03-18,260.15,70,Verkoopboek ordermanagement,16020
VK001642,C10159,2016-03-18,225.06,70,Verkoopboek ordermanagement,16022
VK001643,C10168,2016-03-18,427.13,70,Verkoopboek ordermanagement,16024
VK001644,C10186,2016-03-25,539.96,70,Verkoopboek ordermanagement,16026
VK001645,C10011,2016-03-25,581.77,70,Verkoopboek ordermanagement,16028
VK001646,C10019,2016-03-25,1334.63,70,Verkoopboek ordermanagement,16030
VK001647,C10021,2016-03-25,4023.25,70,Verkoopboek ordermanagement,16032
VK001648,C10073,2016-03-25,8499.04,70,Verkoopboek ordermanagement,16034
VK001649,C10103,2016-03-25,416.24,70,Verkoopboek ordermanagement,16036
VK001650,C10112,2016-03-25,72.6,70,Verkoopboek ordermanagement,16038
VK001651,C10116,2016-03-25,151.25,70,Verkoopboek ordermanagement,16040
VK001652,C10119,2016-03-25,4823.91,70,Verkoopboek ordermanagement,16042
VK001653,C10133,2016-03-25,3176.25,70,Verkoopboek ordermanagement,16044
VK001654,C10139,2016-03-25,447.7,70,Verkoopboek ordermanagement,16046
VK001655,C10140,2016-03-25,1899.7,70,Verkoopboek ordermanagement,16048
VK001656,C10141,2016-03-25,617.1,70,Verkoopboek ordermanagement,16050
VK001657,C10144,2016-03-25,348.48,70,Verkoopboek ordermanagement,16052
VK001658,C10181,2016-03-25,1956.45,70,Verkoopboek ordermanagement,16054
VK001659,C10024,2016-04-01,895.4,70,Verkoopboek ordermanagement,16761
VK001660,C10012,2016-04-01,47.92,70,Verkoopboek ordermanagement,16763
VK001661,C10017,2016-04-01,37.95,70,Verkoopboek ordermanagement,16764
VK001662,C10018,2016-04-01,1263.24,70,Verkoopboek ordermanagement,16766
VK001663,C10036,2016-04-01,598.95,70,Verkoopboek ordermanagement,16768
VK001664,C10042,2016-04-01,706.22,70,Verkoopboek ordermanagement,16770
VK001665,C10052,2016-04-01,2662,70,Verkoopboek ordermanagement,16772
VK001666,C10054,2016-04-01,1052.7,70,Verkoopboek ordermanagement,16774
VK001667,C10076,2016-04-01,816.75,70,Verkoopboek ordermanagement,16776
VK001668,C10080,2016-04-01,1202.74,70,Verkoopboek ordermanagement,16778
VK001669,C10102,2016-04-01,148.23,70,Verkoopboek ordermanagement,16780
VK001670,C10104,2016-04-01,8179.6,70,Verkoopboek ordermanagement,16782
VK001671,C10143,2016-04-01,1263.24,70,Verkoopboek ordermanagement,16783
VK001672,C10153,2016-04-01,529.38,70,Verkoopboek ordermanagement,16785
VK001673,C10176,2016-04-01,4773.45,70,Verkoopboek ordermanagement,16787
VK001674,C10179,2016-04-01,199.21,70,Verkoopboek ordermanagement,16789
VK001675,C10068,2016-04-08,59.9,70,Verkoopboek ordermanagement,16791
VK001676,C10068,2016-04-08,188.64,70,Verkoopboek ordermanagement,16792
VK001677,C10185,2016-04-08,2591.82,70,Verkoopboek ordermanagement,16793
VK001678,C10008,2016-04-08,42.35,70,Verkoopboek ordermanagement,16795
VK001679,C10011,2016-04-08,2541,70,Verkoopboek ordermanagement,16797
VK001680,C10013,2016-04-08,430.76,70,Verkoopboek ordermanagement,16799
VK001681,C10017,2016-04-08,118.58,70,Verkoopboek ordermanagement,16801
VK001682,C10002,2016-04-08,617.1,70,Verkoopboek ordermanagement,16803
VK001683,C10033,2016-04-08,242,70,Verkoopboek ordermanagement,16805
VK001684,C10035,2016-04-08,127.05,70,Verkoopboek ordermanagement,16807
VK001685,C10036,2016-04-08,2813.25,70,Verkoopboek ordermanagement,16809
VK001686,C10003,2016-04-08,4446.75,70,Verkoopboek ordermanagement,16811
VK001687,C10056,2016-04-08,539.96,70,Verkoopboek ordermanagement,16813
VK001688,C10067,2016-04-08,6131.07,70,Verkoopboek ordermanagement,16815
VK001689,C10078,2016-04-08,330.33,70,Verkoopboek ordermanagement,16817
VK001690,C10085,2016-04-08,21.78,70,Verkoopboek ordermanagement,16819
VK001691,C10092,2016-04-08,47.92,70,Verkoopboek ordermanagement,16821
VK001692,C10112,2016-04-08,154.88,70,Verkoopboek ordermanagement,16822
VK001693,C10121,2016-04-08,1815,70,Verkoopboek ordermanagement,16824
VK001694,C10129,2016-04-08,3472.7,70,Verkoopboek ordermanagement,16826
VK001695,C10172,2016-04-08,543.29,70,Verkoopboek ordermanagement,16828
VK001696,C10173,2016-04-08,598.95,70,Verkoopboek ordermanagement,16830
VK001697,C10181,2016-04-08,4985.2,70,Verkoopboek ordermanagement,16832
VK001698,C10012,2016-04-15,6041.53,70,Verkoopboek ordermanagement,16834
VK001699,C10027,2016-04-15,203.28,70,Verkoopboek ordermanagement,16836
VK001700,C10028,2016-04-15,135.52,70,Verkoopboek ordermanagement,16838
VK001701,C10030,2016-04-15,453.75,70,Verkoopboek ordermanagement,16840
VK001702,C10037,2016-04-15,76.23,70,Verkoopboek ordermanagement,16842
VK001703,C10042,2016-04-15,6508.47,70,Verkoopboek ordermanagement,16844
VK001704,C10057,2016-04-15,514.25,70,Verkoopboek ordermanagement,16846
VK001705,C10060,2016-04-15,849.42,70,Verkoopboek ordermanagement,16847
VK001706,C10061,2016-04-15,80.63,70,Verkoopboek ordermanagement,16849
VK001707,C10095,2016-04-15,3125.43,70,Verkoopboek ordermanagement,16851
VK001708,C10100,2016-04-15,1086.58,70,Verkoopboek ordermanagement,16853
VK001709,C10103,2016-04-15,3862.32,70,Verkoopboek ordermanagement,16855
VK001710,C10106,2016-04-15,1785.96,70,Verkoopboek ordermanagement,16857
VK001711,C10111,2016-04-15,109.75,70,Verkoopboek ordermanagement,16859
VK001712,C10127,2016-04-15,242,70,Verkoopboek ordermanagement,16861
VK001713,C10136,2016-04-15,422.29,70,Verkoopboek ordermanagement,16863
VK001714,C10137,2016-04-15,332.75,70,Verkoopboek ordermanagement,16865
VK001715,C10138,2016-04-15,309.76,70,Verkoopboek ordermanagement,16867
VK001716,C10143,2016-04-15,998.25,70,Verkoopboek ordermanagement,16869
VK001717,C10144,2016-04-15,1611.72,70,Verkoopboek ordermanagement,16871
VK001718,C10147,2016-04-15,866.36,70,Verkoopboek ordermanagement,16873
VK001719,C10154,2016-04-15,367.72,70,Verkoopboek ordermanagement,16875
VK001720,C10167,2016-04-15,348.63,70,Verkoopboek ordermanagement,16877
VK001721,C10168,2016-04-15,768.11,70,Verkoopboek ordermanagement,16879
VK001722,C10177,2016-04-15,268.62,70,Verkoopboek ordermanagement,16881
VK001723,C10186,2016-04-22,152.46,70,Verkoopboek ordermanagement,16883
VK001724,C10009,2016-04-22,1072.06,70,Verkoopboek ordermanagement,16885
VK001725,C10021,2016-04-22,1320.11,70,Verkoopboek ordermanagement,16887
VK001726,C10025,2016-04-22,422.29,70,Verkoopboek ordermanagement,16889
VK001727,C10026,2016-04-22,313.39,70,Verkoopboek ordermanagement,16891
VK001728,C10031,2016-04-22,101.64,70,Verkoopboek ordermanagement,16893
VK001729,C10046,2016-04-22,32.67,70,Verkoopboek ordermanagement,16895
VK001730,C10048,2016-04-22,3818.76,70,Verkoopboek ordermanagement,16897
VK001731,C10055,2016-04-22,2371.6,70,Verkoopboek ordermanagement,16899
VK001732,C10058,2016-04-22,1086.58,70,Verkoopboek ordermanagement,16901
VK001733,C10064,2016-04-22,246.84,70,Verkoopboek ordermanagement,16903
VK001734,C10070,2016-04-22,358.11,70,Verkoopboek ordermanagement,16905
VK001735,C10074,2016-04-22,93.19,70,Verkoopboek ordermanagement,16907
VK001736,C10077,2016-04-22,5146.13,70,Verkoopboek ordermanagement,16909
VK001737,C10092,2016-04-22,154.88,70,Verkoopboek ordermanagement,16911
VK001738,C10099,2016-04-22,284.35,70,Verkoopboek ordermanagement,16913
VK001739,C10105,2016-04-22,920.81,70,Verkoopboek ordermanagement,16915
VK001740,C10131,2016-04-22,76.23,70,Verkoopboek ordermanagement,16917
VK001741,C10140,2016-04-22,3368.04,70,Verkoopboek ordermanagement,16919
VK001742,C10161,2016-04-22,1905.75,70,Verkoopboek ordermanagement,16921
VK001743,C10169,2016-04-22,225.06,70,Verkoopboek ordermanagement,16923
VK001744,C10171,2016-04-22,469.58,70,Verkoopboek ordermanagement,16925
