datum,bedrag,tegenpartij_id,factuurreferentie,bankrekening,kanaal,transactienummer
2016-01-21,1241.46,C10023,VK001341,1615,Betalingen onderweg,14882
2016-01-21,1600.83,C10002,VK001389,1615,Betalingen onderweg,14883
2016-01-21,453.75,C10025,CU000520,1615,Betalingen onderweg,14884
2016-01-21,1306.8,C10028,PR002609,1615,Betalingen onderweg,14885
2016-01-21,1452,C10033,PR002613,1615,Betalingen onderweg,14886
2016-01-21,1064.8,C10039,PR002618,1615,Betalingen onderweg,14887
2016-01-21,907.5,C10044,CU000527,1615,Betalingen onderweg,14888
2016-01-21,453.75,C10046,CU000528,1615,Betalingen onderweg,14889
2016-01-21,7436.66,C10046,VK001345,1615,Betalingen onderweg,14890
2016-01-21,1210,C10055,PR002626,1615,Betalingen onderweg,14891
2016-01-21,1560.9,C10066,VK001293,1615,Betalingen onderweg,14892
2016-01-21,1306.8,C10087,PR002630,1615,Betalingen onderweg,14893
2016-01-21,968,C10101,PR002635,1615,Betalingen onderweg,14894
2016-01-21,1452,C10119,PR002641,1615,Betalingen onderweg,14895
2016-01-21,10.89,C10120,VK001384,1615,Betalingen onderweg,14896
2016-01-21,1452,C10122,PR002642,1615,Betalingen onderweg,14897
2016-01-21,2420,C10137,PR002645,1615,Betalingen onderweg,14898
2016-01-21,1064.8,C10157,PR002599,1615,Betalingen onderweg,14899
2016-01-21,148.75,C20085,VK001375,1615,Betalingen onderweg,14900
2016-01-21,81.35,C20675,VK001308,1615,Betalingen onderweg,14901
2016-01-21,259,C20922,VK001376,1615,Betalingen onderweg,14902
2016-01-21,750,C22685,VK001335,1615,Betalingen onderweg,14903
2016-01-21,72,C23450,VK001336,1615,Betalingen onderweg,14904
2016-01-21,4390,C23955,VK001377,1615,Betalingen onderweg,14905
2016-01-29,-41812,S50001,BL000036,1615,Betalingen onderweg,14916
2016-01-29,-3638.47,S50002,IK000505,1615,Betalingen onderweg,14917
2016-01-29,-1542.75,S50008,IK000511,1615,Betalingen onderweg,14918
2016-01-29,-609.9,S50012,IG000308,1615,Betalingen onderweg,14919
2016-01-29,-965.34,S50012,IG000317,1615,Betalingen onderweg,14920
2016-01-29,-50422.18,S50014,IK000501,1615,Betalingen onderweg,14921
2016-01-29,-3435.58,S50024,IG000316,1615,Betalingen onderweg,14922
2016-01-29,-5151.65,S50024,IG000318,1615,Betalingen onderweg,14923
2016-01-29,-1494.35,S50026,IK000503,1615,Betalingen onderweg,14924
2016-01-29,-1052.03,S50027,IK000508,1615,Betalingen onderweg,14925
2016-01-29,-339.77,S50028,IG000304,1615,Betalingen onderweg,14926
2016-01-29,-339.77,S50028,IG000306,1615,Betalingen onderweg,14927
2016-01-29,-1495.11,S50033,IK000506,1615,Betalingen onderweg,14928
2016-01-29,-1303.57,S50033,IK000507,1615,Betalingen onderweg,14929
2016-01-29,-887.92,S50035,IK000510,1615,Betalingen onderweg,14930
2016-01-29,-1764.43,S50036,IK000498,1615,Betalingen onderweg,14931
2016-01-29,-112.15,S50039,IK000502,1615,Betalingen onderweg,14932
2016-01-29,-1436.27,S50040,IK000500,1615,Betalingen onderweg,14933
2016-01-29,-121,S50034,IG000305,1615,Betalingen onderweg,14934
2016-01-29,-305.09,S54994,IK000504,1615,Betalingen onderweg,14935
2016-01-29,1306.8,C10185,PR002654,1615,Betalingen onderweg,14936
2016-01-29,968,C10026,PR002661,1615,Betalingen onderweg,14937
2016-01-29,4806.12,C10026,VK001419,1615,Betalingen onderweg,14938
2016-01-29,3478.02,C10027,PR002662,1615,Betalingen onderweg,14939
2016-01-29,2516.8,C10035,PR002614,1615,Betalingen onderweg,14940
2016-01-29,2420,C10036,PR002615,1615,Betalingen onderweg,14941
2016-01-29,2305.05,C10037,PR002666,1615,Betalingen onderweg,14942
2016-01-29,1210,C10040,PR002669,1615,Betalingen onderweg,14943
2016-01-29,2371.6,C10041,PR002620,1615,Betalingen onderweg,14944
2016-01-29,1306.8,C10051,PR002624,1615,Betalingen onderweg,14945
2016-01-29,2716.45,C10059,VK001398,1615,Betalingen onderweg,14946
2016-01-29,98.01,C10064,VK001424,1615,Betalingen onderweg,14947
2016-01-29,3840.24,C10005,VK001400,1615,Betalingen onderweg,14948
2016-01-29,1452,C10070,PR002678,1615,Betalingen onderweg,14949
2016-01-29,402.93,C10070,VK001425,1615,Betalingen onderweg,14950
2016-01-29,1078.11,C10080,VK001427,1615,Betalingen onderweg,14951
2016-01-29,5967.72,C10082,VK001401,1615,Betalingen onderweg,14952
2016-01-29,1064.8,C10090,PR002685,1615,Betalingen onderweg,14953
2016-01-29,2904,C10100,PR002688,1615,Betalingen onderweg,14954
2016-01-29,2662,C10115,PR002691,1615,Betalingen onderweg,14955
2016-01-29,2274.8,C10124,PR002694,1615,Betalingen onderweg,14956
2016-01-29,30.25,C10133,VK001406,1615,Betalingen onderweg,14957
2016-01-29,401.72,C10136,VK001407,1615,Betalingen onderweg,14958
2016-01-29,816.75,C10148,VK001409,1615,Betalingen onderweg,14959
2016-01-29,2516.8,C10150,PR002651,1615,Betalingen onderweg,14960
2016-01-29,1064.8,C10158,PR002703,1615,Betalingen onderweg,14961
2016-01-29,1348.91,C10024,AB000903,1615,Betalingen onderweg,14962
2016-01-29,1452,C10024,PR002653,1615,Betalingen onderweg,14963
2016-01-29,82.16,C10007,AB000906,1615,Betalingen onderweg,14964
2016-01-29,479.16,C10014,VK001393,1615,Betalingen onderweg,14965
2016-01-29,174.24,C10014,VK001417,1615,Betalingen onderweg,14966
2016-01-29,1058.02,C10016,PR002658,1615,Betalingen onderweg,14967
2016-01-29,82.16,C10018,AB000908,1615,Betalingen onderweg,14968
2016-01-29,82.16,C10028,AB000911,1615,Betalingen onderweg,14969
2016-01-29,1452,C10028,PR002663,1615,Betalingen onderweg,14970
2016-01-29,2776.41,C10028,VK001394,1615,Betalingen onderweg,14971
2016-01-29,1306.8,C10039,PR002668,1615,Betalingen onderweg,14972
2016-01-29,36.24,C10043,AB000915,1615,Betalingen onderweg,14973
2016-01-29,1058.02,C10045,PR002672,1615,Betalingen onderweg,14974
2016-01-29,3388,C10046,PR002622,1615,Betalingen onderweg,14975
2016-01-29,2274.8,C10055,PR002675,1615,Betalingen onderweg,14976
2016-01-29,72.54,C10056,AB000918,1615,Betalingen onderweg,14977
2016-01-29,254.1,C10056,VK001397,1615,Betalingen onderweg,14978
2016-01-29,137.58,C10058,AB000919,1615,Betalingen onderweg,14979
2016-01-29,453.75,C10066,CU000531,1615,Betalingen onderweg,14980
2016-01-29,72.54,C10067,AB000924,1615,Betalingen onderweg,14981
2016-01-29,453.75,C10078,CU000535,1615,Betalingen onderweg,14982
2016-01-29,2613.6,C10087,PR002682,1615,Betalingen onderweg,14983
2016-01-29,2516.8,C10096,PR002687,1615,Betalingen onderweg,14984
2016-01-29,968,C10101,PR002689,1615,Betalingen onderweg,14985
2016-01-29,72.54,C10116,AB000939,1615,Betalingen onderweg,14986
2016-01-29,1343.1,C10122,VK001404,1615,Betalingen onderweg,14987
2016-01-29,635.25,C10129,VK001405,1615,Betalingen onderweg,14988
2016-01-29,1210,C10137,PR002696,1615,Betalingen onderweg,14989
2016-01-29,1210,C10153,PR002700,1615,Betalingen onderweg,14990
2016-01-29,5252.61,C10153,VK001435,1615,Betalingen onderweg,14991
2016-01-29,1452,C10155,PR002701,1615,Betalingen onderweg,14992
2016-01-29,82.16,C10157,AB000948,1615,Betalingen onderweg,14993
2016-01-29,968,C10169,PR002705,1615,Betalingen onderweg,14994
2016-01-29,1233.47,C10180,AB000951,1615,Betalingen onderweg,14995
2016-01-29,1197.9,C10183,CU000516,1615,Betalingen onderweg,14996
2016-01-29,870.66,C10183,VK001258,1615,Betalingen onderweg,14997
2016-01-29,3718.5,C22020,VK001388,1615,Betalingen onderweg,14998
2016-02-15,-362.81,S50003,IK000519,1615,Betalingen onderweg,15489
2016-02-15,-2057,S50004,IK000514,1615,Betalingen onderweg,15490
2016-02-15,-50422.18,S50014,IK000524,1615,Betalingen onderweg,15491
2016-02-15,-424.12,S50015,IK000515,1615,Betalingen onderweg,15492
2016-02-15,-365.15,S50021,IK000518,1615,Betalingen onderweg,15493
2016-02-15,-320.77,S50023,IK000516,1615,Betalingen onderweg,15494
2016-02-15,-1490.91,S50028,IG000315,1615,Betalingen onderweg,15495
2016-02-15,-242.77,S50028,IG000320,1615,Betalingen onderweg,15496
2016-02-15,-1001.88,S50029,IG000311,1615,Betalingen onderweg,15497
2016-02-15,-4893.24,S50029,IG000314,1615,Betalingen onderweg,15498
2016-02-15,-1043.02,S50030,IG000313,1615,Betalingen onderweg,15499
2016-02-15,-1262.64,S50030,IG000322,1615,Betalingen onderweg,15500
2016-02-15,-16221.13,S50031,IG000309,1615,Betalingen onderweg,15501
2016-02-15,-6352.04,S50031,IG000312,1615,Betalingen onderweg,15502
2016-02-15,-1623.82,S50032,IG000319,1615,Betalingen onderweg,15503
2016-02-15,-573.54,S50035,IH000012,1615,Betalingen onderweg,15504
2016-02-15,-164.08,S50037,IK000521,1615,Betalingen onderweg,15505
2016-02-15,-2050.95,S50039,IK000513,1615,Betalingen onderweg,15506
2016-02-15,-302.21,S51306,IH000011,1615,Betalingen onderweg,15507
2016-02-15,-121,S50034,IG000307,1615,Betalingen onderweg,15508
2016-02-15,-11848.32,S50034,IG000310,1615,Betalingen onderweg,15509
2016-02-15,-20572.9,S50034,IG000321,1615,Betalingen onderweg,15510
2016-02-15,-665.85,S52224,IK000522,1615,Betalingen onderweg,15511
2016-02-15,-4466.61,S58231,IK000509,1615,Betalingen onderweg,15512
2016-02-15,-751.4,S58981,IK000517,1615,Betalingen onderweg,15513
2016-02-15,-348.48,S50500,IK000512,1615,Betalingen onderweg,15514
2016-02-15,-602.88,S52412,IK000520,1615,Betalingen onderweg,15515
2016-02-15,36.24,C10068,AB000953,1615,Betalingen onderweg,15516
2016-02-15,907.5,C10186,CU000539,1615,Betalingen onderweg,15517
2016-02-15,1064.8,C10186,PR002708,1615,Betalingen onderweg,15518
2016-02-15,13310,C10185,PR002758,1615,Betalingen onderweg,15519
2016-02-15,45.86,C10009,AB000956,1615,Betalingen onderweg,15520
2016-02-15,1064.8,C10009,PR002711,1615,Betalingen onderweg,15521
2016-02-15,477.95,C10026,CU000545,1615,Betalingen onderweg,15522
2016-02-15,968,C10026,PR002717,1615,Betalingen onderweg,15523
2016-02-15,72.54,C10027,AB000959,1615,Betalingen onderweg,15524
2016-02-15,955.9,C10027,CU000546,1615,Betalingen onderweg,15525
2016-02-15,477.95,C10035,CU000550,1615,Betalingen onderweg,15526
2016-02-15,907.5,C10036,CU000551,1615,Betalingen onderweg,15527
2016-02-15,955.9,C10037,CU000552,1615,Betalingen onderweg,15528
2016-02-15,1064.8,C10037,PR002722,1615,Betalingen onderweg,15529
2016-02-15,1433.85,C10040,CU000553,1615,Betalingen onderweg,15530
2016-02-15,72.54,C10041,AB000962,1615,Betalingen onderweg,15531
2016-02-15,1452,C10041,PR002670,1615,Betalingen onderweg,15532
2016-02-15,1452,C10054,PR002674,1615,Betalingen onderweg,15533
2016-02-15,477.95,C10059,CU000563,1615,Betalingen onderweg,15534
2016-02-15,72.54,C10064,AB000969,1615,Betalingen onderweg,15535
2016-02-15,60.44,C10065,AB000970,1615,Betalingen onderweg,15536
2016-02-15,1671.98,C10065,VK001451,1615,Betalingen onderweg,15537
2016-02-15,112.41,C10005,AB000973,1615,Betalingen onderweg,15538
2016-02-15,1064.8,C10005,PR002734,1615,Betalingen onderweg,15539
2016-02-15,72.54,C10071,AB000974,1615,Betalingen onderweg,15540
2016-02-15,870.47,C10072,AB000975,1615,Betalingen onderweg,15541
2016-02-15,477.95,C10075,CU000567,1615,Betalingen onderweg,15542
2016-02-15,477.95,C10081,CU000569,1615,Betalingen onderweg,15543
2016-02-15,1064.8,C10093,PR002740,1615,Betalingen onderweg,15544
2016-02-15,477.95,C10095,CU000571,1615,Betalingen onderweg,15545
2016-02-15,1062.38,C10095,VK001454,1615,Betalingen onderweg,15546
2016-02-15,1058.02,C10100,PR002742,1615,Betalingen onderweg,15547
2016-02-15,361.67,C10100,VK001470,1615,Betalingen onderweg,15548
2016-02-15,2371.6,C10104,PR002743,1615,Betalingen onderweg,15549
2016-02-15,1210,C10115,PR002745,1615,Betalingen onderweg,15550
2016-02-15,4573.8,C10118,VK001474,1615,Betalingen onderweg,15551
2016-02-15,1058.02,C10124,PR002747,1615,Betalingen onderweg,15552
2016-02-15,72.54,C10136,AB000991,1615,Betalingen onderweg,15553
2016-02-15,72.54,C10139,AB000993,1615,Betalingen onderweg,15554
2016-02-15,1452,C10139,PR002751,1615,Betalingen onderweg,15555
2016-02-15,477.95,C10139,VK001458,1615,Betalingen onderweg,15556
2016-02-15,72.54,C10140,AB000994,1615,Betalingen onderweg,15557
2016-02-15,907.5,C10140,CU000574,1615,Betalingen onderweg,15558
2016-02-15,2371.6,C10140,PR002697,1615,Betalingen onderweg,15559
2016-02-15,1210,C10170,PR002757,1615,Betalingen onderweg,15560
2016-02-15,82.16,C10181,AB001001,1615,Betalingen onderweg,15561
2016-02-15,1136.7,C10181,VK001479,1615,Betalingen onderweg,15562
2016-02-15,2032.8,C10024,PR002706,1615,Betalingen onderweg,15563
2016-02-15,907.5,C10050,CU000538,1615,Betalingen onderweg,15564
2016-02-15,1064.8,C10050,PR002707,1615,Betalingen onderweg,15565
2016-02-15,82.16,C10007,AB000955,1615,Betalingen onderweg,15566
2016-02-15,477.95,C10007,CU000541,1615,Betalingen onderweg,15567
2016-02-15,1058.02,C10007,PR002710,1615,Betalingen onderweg,15568
2016-02-15,1210,C10013,PR002714,1615,Betalingen onderweg,15569
2016-02-15,1306.8,C10016,PR002715,1615,Betalingen onderweg,15570
2016-02-15,595.32,C10016,VK001465,1615,Betalingen onderweg,15571
2016-02-15,82.16,C10018,AB000957,1615,Betalingen onderweg,15572
2016-02-15,907.5,C10018,CU000542,1615,Betalingen onderweg,15573
2016-02-15,907.5,C10002,CU000544,1615,Betalingen onderweg,15574
2016-02-15,258.34,C10002,VK001445,1615,Betalingen onderweg,15575
2016-02-15,4065.6,C10025,VK001446,1615,Betalingen onderweg,15576
2016-02-15,82.16,C10028,AB000960,1615,Betalingen onderweg,15577
2016-02-15,1064.8,C10028,PR002718,1615,Betalingen onderweg,15578
2016-02-15,477.95,C10033,CU000548,1615,Betalingen onderweg,15579
2016-02-15,36.24,C10043,AB000963,1615,Betalingen onderweg,15580
2016-02-15,25.41,C10044,VK001449,1615,Betalingen onderweg,15581
2016-02-15,955.9,C10045,CU000555,1615,Betalingen onderweg,15582
2016-02-15,477.95,C10046,CU000556,1615,Betalingen onderweg,15583
2016-02-15,6703.4,C10046,VK001450,1615,Betalingen onderweg,15584
2016-02-15,72.54,C10056,AB000965,1615,Betalingen onderweg,15585
2016-02-15,1306.8,C10057,PR002731,1615,Betalingen onderweg,15586
2016-02-15,132.98,C10062,AB000967,1615,Betalingen onderweg,15587
2016-02-15,199.65,C10066,AB000971,1615,Betalingen onderweg,15588
2016-02-15,4537.5,C10066,VK001399,1615,Betalingen onderweg,15589
2016-02-15,72.54,C10067,AB000972,1615,Betalingen onderweg,15590
2016-02-15,907.5,C10087,CU000570,1615,Betalingen onderweg,15591
2016-02-15,968,C10087,PR002738,1615,Betalingen onderweg,15592
2016-02-15,72.54,C10116,AB000988,1615,Betalingen onderweg,15593
2016-02-15,2516.8,C10116,PR002692,1615,Betalingen onderweg,15594
2016-02-15,477.95,C10119,CU000573,1615,Betalingen onderweg,15595
2016-02-15,1210,C10122,PR002746,1615,Betalingen onderweg,15596
2016-02-15,362.64,C10129,AB000989,1615,Betalingen onderweg,15597
2016-02-15,1270.5,C10134,VK001457,1615,Betalingen onderweg,15598
2016-02-15,968,C10137,PR002749,1615,Betalingen onderweg,15599
2016-02-15,1009.14,C10137,VK001476,1615,Betalingen onderweg,15600
2016-02-15,955.9,C10147,CU000576,1615,Betalingen onderweg,15601
2016-02-15,968,C10153,PR002754,1615,Betalingen onderweg,15602
2016-02-15,4173.29,C10155,VK001459,1615,Betalingen onderweg,15603
2016-02-15,82.16,C10157,AB000997,1615,Betalingen onderweg,15604
2016-02-15,5123.62,C10157,PR002702,1615,Betalingen onderweg,15605
2016-02-15,28.86,C10169,AB000999,1615,Betalingen onderweg,15606
2016-02-15,2116.05,C10169,PR002756,1615,Betalingen onderweg,15607
2016-02-15,120,C23955,VK001440,1615,Betalingen onderweg,15608
2016-02-29,-34238,S50001,BL000037,1615,Betalingen onderweg,15620
2016-02-29,-3638.47,S50002,IK000527,1615,Betalingen onderweg,15621
2016-02-29,-284.35,S50006,IK000536,1615,Betalingen onderweg,15622
2016-02-29,-1208,S50011,IK000530,1615,Betalingen onderweg,15623
2016-02-29,-699.56,S50012,IG000324,1615,Betalingen onderweg,15624
2016-02-29,-67.28,S50012,IG000331,1615,Betalingen onderweg,15625
2016-02-29,-21604.63,S50024,IG000325,1615,Betalingen onderweg,15626
2016-02-29,-1494.35,S50026,IK000532,1615,Betalingen onderweg,15627
2016-02-29,-1438.76,S50033,IK000528,1615,Betalingen onderweg,15628
2016-02-29,-164.08,S50037,IK000542,1615,Betalingen onderweg,15629
2016-02-29,-1936,S50040,IK000523,1615,Betalingen onderweg,15630
2016-02-29,-5125,S60003,IK000540,1615,Betalingen onderweg,15631
2016-02-29,-401.8,S54994,IK000525,1615,Betalingen onderweg,15632
2016-02-29,968,C10068,PR002761,1615,Betalingen onderweg,15633
2016-02-29,1064.8,C10186,PR002762,1615,Betalingen onderweg,15634
2016-02-29,4065.6,C10185,PR002763,1615,Betalingen onderweg,15635
2016-02-29,645.84,C10185,VK001516,1615,Betalingen onderweg,15636
2016-02-29,423.5,C10009,VK001518,1615,Betalingen onderweg,15637
2016-02-29,1306.8,C10027,PR002773,1615,Betalingen onderweg,15638
2016-02-29,2516.8,C10040,PR002780,1615,Betalingen onderweg,15639
2016-02-29,1452,C10041,PR002723,1615,Betalingen onderweg,15640
2016-02-29,1210,C10051,PR002728,1615,Betalingen onderweg,15641
2016-02-29,477.95,C10054,CU000562,1615,Betalingen onderweg,15642
2016-02-29,2516.8,C10054,PR002730,1615,Betalingen onderweg,15643
2016-02-29,794.37,C10059,VK001528,1615,Betalingen onderweg,15644
2016-02-29,1306.8,C10064,PR002792,1615,Betalingen onderweg,15645
2016-02-29,542.83,C10064,VK001530,1615,Betalingen onderweg,15646
2016-02-29,2364.82,C10005,PR002793,1615,Betalingen onderweg,15647
2016-02-29,2613.6,C10070,PR002795,1615,Betalingen onderweg,15648
2016-02-29,719.95,C10070,VK001531,1615,Betalingen onderweg,15649
2016-02-29,2371.6,C10072,PR002796,1615,Betalingen onderweg,15650
2016-02-29,2371.6,C10093,PR002804,1615,Betalingen onderweg,15651
2016-02-29,329.12,C10103,VK001537,1615,Betalingen onderweg,15652
2016-02-29,1064.8,C10111,PR002807,1615,Betalingen onderweg,15653
2016-02-29,2758.8,C10115,PR002808,1615,Betalingen onderweg,15654
2016-02-29,5408.7,C10118,VK001495,1615,Betalingen onderweg,15655
2016-02-29,2541,C10133,VK001541,1615,Betalingen onderweg,15656
2016-02-29,1064.8,C10136,PR002811,1615,Betalingen onderweg,15657
2016-02-29,2420,C10139,PR002813,1615,Betalingen onderweg,15658
2016-02-29,205.7,C10139,VK001503,1615,Betalingen onderweg,15659
2016-02-29,290.4,C10140,VK001504,1615,Betalingen onderweg,15660
2016-02-29,1210,C10148,PR002816,1615,Betalingen onderweg,15661
2016-02-29,1064.8,C10150,PR002753,1615,Betalingen onderweg,15662
2016-02-29,2342.56,C10167,VK001547,1615,Betalingen onderweg,15663
2016-02-29,1210,C10170,PR002818,1615,Betalingen onderweg,15664
2016-02-29,968,C10181,VK001513,1615,Betalingen onderweg,15665
2016-02-29,1306.8,C10024,PR002759,1615,Betalingen onderweg,15666
2016-02-29,1064.8,C10050,PR002760,1615,Betalingen onderweg,15667
2016-02-29,164.56,C10050,VK001482,1615,Betalingen onderweg,15668
2016-02-29,1210,C10007,PR002764,1615,Betalingen onderweg,15669
2016-02-29,2274.8,C10013,PR002766,1615,Betalingen onderweg,15670
2016-02-29,4230.69,C10013,VK001520,1615,Betalingen onderweg,15671
2016-02-29,1058.02,C10018,PR002768,1615,Betalingen onderweg,15672
2016-02-29,315.81,C10018,VK001483,1615,Betalingen onderweg,15673
2016-02-29,968,C10028,PR002774,1615,Betalingen onderweg,15674
2016-02-29,1452,C10033,PR002777,1615,Betalingen onderweg,15675
2016-02-29,2371.6,C10043,PR002782,1615,Betalingen onderweg,15676
2016-02-29,2274.8,C10045,PR002783,1615,Betalingen onderweg,15677
2016-02-29,104.06,C10045,VK001488,1615,Betalingen onderweg,15678
2016-02-29,8555.91,C10046,VK001489,1615,Betalingen onderweg,15679
2016-02-29,260.15,C10055,VK001527,1615,Betalingen onderweg,15680
2016-02-29,1210,C10057,PR002790,1615,Betalingen onderweg,15681
2016-02-29,4749.25,C10062,VK001492,1615,Betalingen onderweg,15682
2016-02-29,1108.84,C10069,PR002794,1615,Betalingen onderweg,15683
2016-02-29,1064.8,C10085,PR002800,1615,Betalingen onderweg,15684
2016-02-29,1210,C10096,PR002805,1615,Betalingen onderweg,15685
2016-02-29,1058.02,C10122,PR002810,1615,Betalingen onderweg,15686
2016-02-29,2926.55,C10122,VK001496,1615,Betalingen onderweg,15687
2016-02-29,5263.5,C10129,VK001500,1615,Betalingen onderweg,15688
2016-02-29,2371.6,C10137,PR002812,1615,Betalingen onderweg,15689
2016-02-29,1689.16,C10147,VK001544,1615,Betalingen onderweg,15690
2016-02-29,477.95,C10157,CU000577,1615,Betalingen onderweg,15691
2016-02-29,1058.02,C10157,PR002755,1615,Betalingen onderweg,15692
2016-02-29,9.68,C10174,VK001511,1615,Betalingen onderweg,15693
2016-02-29,3039.8,C20675,VK001462,1615,Betalingen onderweg,15694
2016-02-29,680,C22020,VK001480,1615,Betalingen onderweg,15695
2016-03-15,-406.08,S50003,IK000539,1615,Betalingen onderweg,16177
2016-03-15,-50422.18,S50014,IK000543,1615,Betalingen onderweg,16178
2016-03-15,-388.93,S50015,IK000535,1615,Betalingen onderweg,16179
