factuurnummer,leveranciernummer,factuurdatum,bedrag_incl_btw,journaal_id,inkoopboek,transactienummer,soort_boeking
IG000329,S50034,2016-02-09,11957.46,10,Inkoopboek goederen,15451,AscImp
IG000330,S50031,2016-02-10,1230.64,10,Inkoopboek goederen,15452,AscImp
IG000331,S50012,2016-02-11,67.28,10,Inkoopboek goederen,15453,AscImp
IG000332,S50028,2016-02-11,1630.31,10,Inkoopboek goederen,15454,AscImp
IG000333,S50028,2016-02-12,3000.7,10,Inkoopboek goederen,15455,AscImp
IG000334,S50034,2016-02-15,12517.69,10,Inkoopboek goederen,15456,AscImp
IG000335,S50031,2016-02-15,4552.55,10,Inkoopboek goederen,15457,AscImp
IG000336,S50024,2016-02-16,8978.68,10,Inkoopboek goederen,15458,AscImp
IG000337,S50034,2016-02-29,121,10,Inkoopboek goederen,15459,AscImp
IG000338,S50034,2016-03-01,121,10,Inkoopboek goederen,16158,AscImp
IG000339,S50016,2016-03-02,919.6,10,Inkoopboek goederen,16159,AscImp
IG000340,S50034,2016-03-02,3461.57,10,Inkoopboek goederen,16160,AscImp
IG000341,S50029,2016-03-02,1840.41,10,Inkoopboek goederen,16161,AscImp
IG000342,S50034,2016-03-03,10791.02,10,Inkoopboek goederen,16162,AscImp
IG000343,S50028,2016-03-04,518.07,10,Inkoopboek goederen,16163,AscImp
IG000344,S50030,2016-03-07,639.79,10,Inkoopboek goederen,16164,AscImp
IG000345,S50031,2016-03-07,24.2,10,Inkoopboek goederen,16165,AscImp
IG000346,S50024,2016-03-08,9051.53,10,Inkoopboek goederen,16166,AscImp
IG000347,S50034,2016-03-09,12592.71,10,Inkoopboek goederen,16167,AscImp
IG000348,S50012,2016-03-09,61.41,10,Inkoopboek goederen,16168,AscImp
IG000349,S50031,2016-03-10,7813.32,10,Inkoopboek goederen,16169,AscImp
IG000350,S50031,2016-03-11,7720.24,10,Inkoopboek goederen,16170,AscImp
IG000351,S50030,2016-03-14,1005.45,10,Inkoopboek goederen,16171,AscImp
IG000352,S50029,2016-03-14,2323.2,10,Inkoopboek goederen,16172,AscImp
IG000353,S50028,2016-03-15,464.64,10,Inkoopboek goederen,16173,AscImp
IG000354,S50012,2016-03-15,395.67,10,Inkoopboek goederen,16174,AscImp
IG000355,S50024,2016-03-16,13837.95,10,Inkoopboek goederen,16175,AscImp
IH000018,S50034,2016-03-31,121,10,Inkoopboek goederen,16436,FiEntry
IG000356,S50031,2016-04-04,8697.38,10,Inkoopboek goederen,16437,AscImp
IG000357,S50024,2016-04-04,12430.09,10,Inkoopboek goederen,16438,AscImp
IG000358,S50024,2016-04-04,12800.49,10,Inkoopboek goederen,16439,AscImp
IG000359,S50012,2016-04-05,1276.73,10,Inkoopboek goederen,16440,AscImp
IG000360,S50031,2016-04-05,139.15,10,Inkoopboek goederen,16441,AscImp
IG000361,S50029,2016-04-06,2063.29,10,Inkoopboek goederen,16442,AscImp
IG000362,S50034,2016-04-06,17982.78,10,Inkoopboek goederen,16443,AscImp
IG000363,S50030,2016-04-06,703.31,10,Inkoopboek goederen,16444,AscImp
IG000364,S50031,2016-04-07,10370.26,10,Inkoopboek goederen,16445,AscImp
IG000365,S50028,2016-04-08,637.72,10,Inkoopboek goederen,16446,AscImp
IG000366,S50034,2016-04-11,1936,10,Inkoopboek goederen,16447,AscImp
IG000367,S50012,2016-04-11,207.52,10,Inkoopboek goederen,16448,AscImp
IG000368,S50030,2016-04-11,115.86,10,Inkoopboek goederen,16449,AscImp
IG000369,S50034,2016-04-19,7580.41,10,Inkoopboek goederen,16450,AscImp
IG000370,S50028,2016-04-25,485.55,10,Inkoopboek goederen,16451,AscImp
IG000371,S50032,2016-04-29,590.48,10,Inkoopboek goederen,16452,AscImp
IG000372,S50029,2016-04-29,1931.16,10,Inkoopboek goederen,16453,AscImp
IG000373,S50034,2016-04-29,121,10,Inkoopboek goederen,16454,AscImp
IG000374,S50028,2016-05-02,542.47,10,Inkoopboek goederen,17901,AscImp
IG000375,S50031,2016-05-02,10828.46,10,Inkoopboek goederen,17902,AscImp
IG000376,S50031,2016-05-03,90.75,10,Inkoopboek goederen,17903,AscImp
IG000377,S50034,2016-05-03,7869.84,10,Inkoopboek goederen,17904,AscImp
IG000378,S50030,2016-05-04,1346.73,10,Inkoopboek goederen,17905,AscImp
IG000379,S50032,2016-05-04,1033.34,10,Inkoopboek goederen,17906,AscImp
IG000380,S50012,2016-05-06,500.03,10,Inkoopboek goederen,17907,AscImp
IG000381,S50024,2016-05-06,10103.02,10,Inkoopboek goederen,17908,AscImp
IG000382,S50034,2016-05-09,22711.7,10,Inkoopboek goederen,17909,AscImp
IG000383,S50032,2016-05-09,1033.34,10,Inkoopboek goederen,17910,AscImp
IG000384,S50024,2016-05-09,13156.09,10,Inkoopboek goederen,17911,AscImp
IG000385,S50029,2016-05-10,217.8,10,Inkoopboek goederen,17912,AscImp
IG000386,S50031,2016-05-10,6719.48,10,Inkoopboek goederen,17913,AscImp
IG000387,S50030,2016-05-11,963.46,10,Inkoopboek goederen,17914,AscImp
IG000388,S50028,2016-05-11,847.39,10,Inkoopboek goederen,17915,AscImp
IG000389,S50012,2016-05-11,338.44,10,Inkoopboek goederen,17916,AscImp
IG000390,S50034,2016-05-30,121,10,Inkoopboek goederen,17917,AscImp
IG000391,S50034,2016-06-01,121,10,Inkoopboek goederen,18670,AscImp
IG000392,S50034,2016-06-03,14615.83,10,Inkoopboek goederen,18671,AscImp
IG000393,S50031,2016-06-03,6327.91,10,Inkoopboek goederen,18672,AscImp
IG000394,S50030,2016-06-03,333.66,10,Inkoopboek goederen,18673,AscImp
IG000395,S50031,2016-06-03,5453.91,10,Inkoopboek goederen,18674,AscImp
IG000396,S50034,2016-06-03,10902.1,10,Inkoopboek goederen,18675,AscImp
IG000397,S50012,2016-06-06,1577.05,10,Inkoopboek goederen,18676,AscImp
IG000398,S50024,2016-06-06,27189.35,10,Inkoopboek goederen,18677,AscImp
IG000399,S50012,2016-06-07,366.51,10,Inkoopboek goederen,18678,AscImp
IG000400,S50016,2016-06-08,919.6,10,Inkoopboek goederen,18679,AscImp
IG000401,S50031,2016-06-08,36.3,10,Inkoopboek goederen,18680,AscImp
IG000402,S50030,2016-06-08,988.27,10,Inkoopboek goederen,18681,AscImp
IG000403,S50032,2016-06-09,147.62,10,Inkoopboek goederen,18682,AscImp
IG000404,S50028,2016-06-10,1085.52,10,Inkoopboek goederen,18683,AscImp
IG000405,S50029,2016-06-14,2805.99,10,Inkoopboek goederen,18684,AscImp
IG000406,S50029,2016-06-15,1571.79,10,Inkoopboek goederen,18685,AscImp
IG000407,S50016,2016-06-28,804.65,10,Inkoopboek goederen,18686,AscImp
IG000408,S50024,2016-06-30,540.14,10,Inkoopboek goederen,18687,AscImp
IG000409,S50034,2016-06-30,121,10,Inkoopboek goederen,18688,AscImp
IG000410,S50034,2016-07-01,60.5,10,Inkoopboek goederen,19572,AscImp
IG000411,S50032,2016-07-15,2509.54,10,Inkoopboek goederen,19573,AscImp
IG000413,S50016,2016-07-15,1954.15,10,Inkoopboek goederen,19575,AscImp
IG000412,S50031,2016-07-18,13896.26,10,Inkoopboek goederen,19574,AscImp
IG000414,S50034,2016-07-18,11841.79,10,Inkoopboek goederen,19576,AscImp
IG000415,S50031,2016-07-18,10620.76,10,Inkoopboek goederen,19577,AscImp
IG000516,S50024,2016-07-18,18707.8,10,Inkoopboek goederen,19578,AscImp
IG000517,S50012,2016-07-19,887.96,10,Inkoopboek goederen,19579,AscImp
IG000518,S50028,2016-07-19,1155.79,10,Inkoopboek goederen,19580,AscImp
IG000519,S50030,2016-07-19,524.72,10,Inkoopboek goederen,19581,AscImp
IG000520,S50029,2016-07-20,261.36,10,Inkoopboek goederen,19582,AscImp
IG000521,S50030,2016-07-21,2085.44,10,Inkoopboek goederen,19583,AscImp
IG000522,S50034,2016-07-21,7311.79,10,Inkoopboek goederen,19584,AscImp
IG000523,S50012,2016-07-22,323.37,10,Inkoopboek goederen,19585,AscImp
IG000524,S50024,2016-07-25,15047.66,10,Inkoopboek goederen,19586,AscImp
IG000525,S50028,2016-07-26,116.16,10,Inkoopboek goederen,19587,AscImp
IG000526,S50031,2016-07-27,33.28,10,Inkoopboek goederen,19588,AscImp
IG000527,S50029,2016-07-28,1448.37,10,Inkoopboek goederen,19589,AscImp
IG000528,S50034,2016-08-01,121,10,Inkoopboek goederen,20593,AscImp
IG000529,S50030,2016-08-01,326.94,10,Inkoopboek goederen,20594,AscImp
IG000530,S50028,2016-08-01,1215.9,10,Inkoopboek goederen,20595,AscImp
IG000531,S50028,2016-08-01,339.77,10,Inkoopboek goederen,20596,AscImp
IG000532,S50032,2016-08-01,1328.58,10,Inkoopboek goederen,20597,AscImp
IG000533,S50016,2016-08-02,919.6,10,Inkoopboek goederen,20598,AscImp
IG000534,S50031,2016-08-02,39.33,10,Inkoopboek goederen,20599,AscImp
IG000535,S50034,2016-08-02,8249.78,10,Inkoopboek goederen,20600,AscImp
IG000536,S50034,2016-08-02,9798.34,10,Inkoopboek goederen,20601,AscImp
IG000537,S50024,2016-08-03,14913.54,10,Inkoopboek goederen,20602,AscImp
IG000538,S50024,2016-08-03,20307.84,10,Inkoopboek goederen,20603,AscImp
IG000539,S50012,2016-08-03,1805.8,10,Inkoopboek goederen,20604,AscImp
IG000540,S50012,2016-08-03,158.81,10,Inkoopboek goederen,20605,AscImp
IG000541,S50029,2016-08-04,1089,10,Inkoopboek goederen,20606,AscImp
IG000542,S50029,2016-08-08,5310.69,10,Inkoopboek goederen,20607,AscImp
IG000543,S50031,2016-08-08,4314.71,10,Inkoopboek goederen,20608,AscImp
IG000544,S50016,2016-08-09,1379.4,10,Inkoopboek goederen,20609,AscImp
IG000545,S50031,2016-08-09,11904.44,10,Inkoopboek goederen,20610,AscImp
IG000546,S50030,2016-08-10,730.84,10,Inkoopboek goederen,20611,AscImp
IG000547,S50034,2016-08-30,121,10,Inkoopboek goederen,20612,AscImp
IG000548,S50034,2016-09-01,121,10,Inkoopboek goederen,20814,AscImp
IG000549,S50031,2016-09-02,66.55,10,Inkoopboek goederen,20815,AscImp
IG000550,S50031,2016-09-02,8949.74,10,Inkoopboek goederen,20816,AscImp
IG000551,S50012,2016-09-02,1080.65,10,Inkoopboek goederen,20817,AscImp
IG000552,S50032,2016-09-02,885.72,10,Inkoopboek goederen,20818,AscImp
IG000553,S50030,2016-09-05,516.19,10,Inkoopboek goederen,20819,AscImp
IG000554,S50030,2016-09-05,1377.28,10,Inkoopboek goederen,20820,AscImp
IG000555,S50029,2016-09-05,1916.64,10,Inkoopboek goederen,20821,AscImp
IG000556,S50016,2016-09-06,574.75,10,Inkoopboek goederen,20822,AscImp
IG000557,S50028,2016-09-06,2255.25,10,Inkoopboek goederen,20823,AscImp
IG000558,S50028,2016-09-06,912.15,10,Inkoopboek goederen,20824,AscImp
IG000559,S50034,2016-09-06,3219.81,10,Inkoopboek goederen,20825,AscImp
IG000560,S50024,2016-09-07,12513.29,10,Inkoopboek goederen,20826,AscImp
IG000561,S50034,2016-09-07,3647.42,10,Inkoopboek goederen,20827,AscImp
IG000562,S50032,2016-09-07,885.72,10,Inkoopboek goederen,20828,AscImp
IG000563,S50024,2016-09-08,7619.85,10,Inkoopboek goederen,20829,AscImp
IG000564,S50034,2016-09-08,9574,10,Inkoopboek goederen,20830,AscImp
IG000565,S50029,2016-09-08,2054.58,10,Inkoopboek goederen,20831,AscImp
IG000566,S50031,2016-09-09,12667.42,10,Inkoopboek goederen,20832,AscImp
IG000567,S50012,2016-09-12,1008.72,10,Inkoopboek goederen,20833,AscImp
IG000568,S50024,2016-10-03,10841.16,10,Inkoopboek goederen,21727,AscImp
IG000569,S50030,2016-10-03,1189.73,10,Inkoopboek goederen,21728,AscImp
IG000570,S50031,2016-10-03,8919.36,10,Inkoopboek goederen,21729,AscImp
IG000571,S50028,2016-10-04,1708.13,10,Inkoopboek goederen,21730,AscImp
IG000572,S50031,2016-10-04,45.38,10,Inkoopboek goederen,21731,AscImp
IG000573,S50012,2016-10-04,619.7,10,Inkoopboek goederen,21732,AscImp
IG000574,S50030,2016-10-05,676.87,10,Inkoopboek goederen,21733,AscImp
IG000575,S50016,2016-10-05,459.8,10,Inkoopboek goederen,21734,AscImp
IG000576,S50028,2016-10-05,1043.12,10,Inkoopboek goederen,21735,AscImp
IG000577,S50029,2016-10-05,392.04,10,Inkoopboek goederen,21736,AscImp
IG000578,S50012,2016-10-05,385.87,10,Inkoopboek goederen,21737,AscImp
IG000579,S50034,2016-10-05,7086.73,10,Inkoopboek goederen,21738,AscImp
IG000580,S50016,2016-10-06,574.75,10,Inkoopboek goederen,21739,AscImp
IG000581,S50032,2016-10-06,1476.2,10,Inkoopboek goederen,21740,AscImp
IG000582,S50024,2016-10-06,11516.78,10,Inkoopboek goederen,21741,AscImp
IG000583,S50031,2016-10-07,8239.14,10,Inkoopboek goederen,21742,AscImp
IG000584,S50029,2016-10-07,5597.46,10,Inkoopboek goederen,21743,AscImp
IG000585,S50034,2016-10-10,14190.4,10,Inkoopboek goederen,21744,AscImp
IG000586,S50034,2016-10-31,121,10,Inkoopboek goederen,21745,AscImp
IG000587,S50034,2016-11-01,121,10,Inkoopboek goederen,22656,AscImp
IG000588,S50031,2016-11-02,6188.7,10,Inkoopboek goederen,22657,AscImp
IG000589,S50024,2016-11-03,10016.09,10,Inkoopboek goederen,22658,AscImp
IG000590,S50031,2016-11-03,90.75,10,Inkoopboek goederen,22659,AscImp
IG000591,S50028,2016-11-03,968.48,10,Inkoopboek goederen,22660,AscImp
IG000592,S50030,2016-11-03,235.95,10,Inkoopboek goederen,22661,AscImp
IG000593,S50030,2016-11-03,612.87,10,Inkoopboek goederen,22662,AscImp
IG000594,S50032,2016-11-03,1476.2,10,Inkoopboek goederen,22663,AscImp
IG000595,S50028,2016-11-03,1883.24,10,Inkoopboek goederen,22664,AscImp
IG000596,S50029,2016-11-04,1448.37,10,Inkoopboek goederen,22665,AscImp
IG000597,S50029,2016-11-04,3708.41,10,Inkoopboek goederen,22666,AscImp
IG000598,S50034,2016-11-04,11410.3,10,Inkoopboek goederen,22667,AscImp
IG000599,S50012,2016-11-04,253.25,10,Inkoopboek goederen,22668,AscImp
IG000600,S50024,2016-11-04,16521.44,10,Inkoopboek goederen,22669,AscImp
IG000601,S50012,2016-11-04,247.26,10,Inkoopboek goederen,22670,AscImp
IG000602,S50034,2016-11-04,6438.65,10,Inkoopboek goederen,22671,AscImp
IG000603,S50031,2016-11-07,5018.1,10,Inkoopboek goederen,22672,AscImp
IG000604,S50030,2016-11-07,470.99,10,Inkoopboek goederen,22673,AscImp
IG000605,S50024,2016-11-30,6715.5,10,Inkoopboek goederen,22674,AscImp
IG000606,S50034,2016-12-01,121,10,Inkoopboek goederen,24192,AscImp
IG000607,S50012,2016-12-02,1131.98,10,Inkoopboek goederen,24193,AscImp
IG000608,S50034,2016-12-02,2321.07,10,Inkoopboek goederen,24194,AscImp
IG000609,S50024,2016-12-02,883.72,10,Inkoopboek goederen,24195,AscImp
IG000610,S50031,2016-12-05,21719.48,10,Inkoopboek goederen,24196,AscImp
IG000611,S50030,2016-12-05,1411.4,10,Inkoopboek goederen,24197,AscImp
IG000612,S50028,2016-12-05,95.08,10,Inkoopboek goederen,24198,AscImp
IG000613,S50029,2016-12-06,2845.34,10,Inkoopboek goederen,24199,AscImp
IG000614,S50024,2016-12-06,5433.48,10,Inkoopboek goederen,24200,AscImp
IG000615,S50032,2016-12-06,457.38,10,Inkoopboek goederen,24201,AscImp
IG000616,S50031,2016-12-07,24535.32,10,Inkoopboek goederen,24202,AscImp
IG000617,S50030,2016-12-08,4872.19,10,Inkoopboek goederen,24203,AscImp
IG000618,S50034,2016-12-08,5391.47,10,Inkoopboek goederen,24204,AscImp
IG000619,S50016,2016-12-09,296.45,10,Inkoopboek goederen,24205,AscImp
IG000620,S50012,2016-12-09,460.25,10,Inkoopboek goederen,24206,AscImp
IK000501,S50014,2016-01-04,50422.18,11,Inkoopboek kosten,14766,AscImp
IK000502,S50039,2016-01-05,112.15,11,Inkoopboek kosten,14767,AscImp
IK000503,S50026,2016-01-07,1494.35,11,Inkoopboek kosten,14768,AscImp
IK000504,S54994,2016-01-07,305.09,11,Inkoopboek kosten,14769,AscImp
IK000505,S50002,2016-01-08,3638.47,11,Inkoopboek kosten,14770,AscImp
IK000506,S50033,2016-01-11,1495.11,11,Inkoopboek kosten,14771,AscImp
IK000507,S50033,2016-01-12,1303.57,11,Inkoopboek kosten,14772,AscImp
IK000508,S50027,2016-01-13,1052.03,11,Inkoopboek kosten,14773,AscImp
IK000509,S58231,2016-01-13,4466.61,11,Inkoopboek kosten,14774,AscImp
IK000510,S50035,2016-01-14,887.92,11,Inkoopboek kosten,14775,AscImp
IK000511,S50008,2016-01-15,1542.75,11,Inkoopboek kosten,14776,AscImp
IK000512,S50500,2016-01-18,348.48,11,Inkoopboek kosten,14777,AscImp
IK000513,S50039,2016-01-18,2050.95,11,Inkoopboek kosten,14778,AscImp
IK000514,S50004,2016-01-19,2057,11,Inkoopboek kosten,14779,AscImp
IK000515,S50015,2016-01-20,424.12,11,Inkoopboek kosten,14780,AscImp
IK000516,S50023,2016-01-22,320.77,11,Inkoopboek kosten,14781,AscImp
IK000517,S58981,2016-01-25,751.4,11,Inkoopboek kosten,14782,AscImp
IK000518,S50021,2016-01-25,365.15,11,Inkoopboek kosten,14783,AscImp
IK000519,S50003,2016-01-26,362.81,11,Inkoopboek kosten,14784,AscImp
IK000520,S52412,2016-01-26,602.88,11,Inkoopboek kosten,14785,AscImp
IK000521,S50037,2016-01-27,164.08,11,Inkoopboek kosten,14786,AscImp
IK000522,S52224,2016-01-29,665.85,11,Inkoopboek kosten,14787,AscImp
IK000523,S50040,2016-01-29,1936,11,Inkoopboek kosten,14788,AscImp
IK000602,S50090,2016-01-29,24200,11,Inkoopboek kosten,18706,AscImp
IH000011,S51306,2016-01-28,302.21,11,Inkoopboek kosten,15011,FiEivMut
IH000012,S50035,2016-01-28,573.54,11,Inkoopboek kosten,15012,FiEivMut
IK000524,S50014,2016-02-01,50422.18,11,Inkoopboek kosten,15461,AscImp
IK000525,S54994,2016-02-02,401.8,11,Inkoopboek kosten,15462,AscImp
IK000542,S50037,2016-02-02,164.08,11,Inkoopboek kosten,15463,AscImp
IK000532,S50026,2016-02-03,1494.35,11,Inkoopboek kosten,15464,AscImp
IK000540,S60003,2016-02-04,5125,11,Inkoopboek kosten,15465,AscImp
IK000530,S50011,2016-02-04,1208,11,Inkoopboek kosten,15466,AscImp
IK000527,S50002,2016-02-08,3638.47,11,Inkoopboek kosten,15467,AscImp
IK000536,S50006,2016-02-12,284.35,11,Inkoopboek kosten,15468,AscImp
IK000528,S50033,2016-02-15,1438.76,11,Inkoopboek kosten,15469,AscImp
IK000529,S50033,2016-02-17,1347.32,11,Inkoopboek kosten,15470,AscImp
IK000535,S50015,2016-02-17,388.93,11,Inkoopboek kosten,15471,AscImp
IK000533,S50035,2016-02-19,887.92,11,Inkoopboek kosten,15472,AscImp
IK000541,S50036,2016-02-22,936.54,11,Inkoopboek kosten,15473,AscImp
IK000538,S50021,2016-02-23,365.15,11,Inkoopboek kosten,15474,AscImp
IK000537,S58981,2016-02-24,751.4,11,Inkoopboek kosten,15475,AscImp
IK000534,S50500,2016-02-25,348.48,11,Inkoopboek kosten,15476,AscImp
IK000531,S58231,2016-02-26,4309.98,11,Inkoopboek kosten,15477,AscImp
IK000539,S50003,2016-02-29,406.08,11,Inkoopboek kosten,15478,AscImp
IK000526,S52224,2016-02-29,645.95,11,Inkoopboek kosten,15479,AscImp
IH000013,S51306,2016-02-26,357.56,11,Inkoopboek kosten,15712,FiEivMut
IH000014,S50035,2016-02-26,745.97,11,Inkoopboek kosten,15713,FiEivMut
IK000603,S50090,2016-02-29,24200,11,Inkoopboek kosten,18707,AscImp
IK000543,S50014,2016-03-01,50422.18,11,Inkoopboek kosten,16133,AscImp
IK000544,S54994,2016-03-01,375.8,11,Inkoopboek kosten,16134,AscImp
IK000545,S52224,2016-03-02,653.13,11,Inkoopboek kosten,16135,AscImp
IK000546,S50002,2016-03-03,3638.47,11,Inkoopboek kosten,16136,AscImp
IK000547,S50033,2016-03-04,1396.93,11,Inkoopboek kosten,16137,AscImp
IK000548,S50033,2016-03-07,1621.27,11,Inkoopboek kosten,16138,AscImp
IK000549,S50022,2016-03-07,256,11,Inkoopboek kosten,16139,AscImp
IK000550,S58231,2016-03-09,4523.33,11,Inkoopboek kosten,16140,AscImp
IK000551,S50026,2016-03-10,1494.35,11,Inkoopboek kosten,16141,AscImp
IK000552,S50038,2016-03-11,2245,11,Inkoopboek kosten,16142,AscImp
IK000553,S50035,2016-03-11,887.92,11,Inkoopboek kosten,16143,AscImp
IK000554,S50500,2016-03-15,485.21,11,Inkoopboek kosten,16144,AscImp
IK000555,S60002,2016-03-16,5500,11,Inkoopboek kosten,16145,AscImp
IK000556,S50015,2016-03-18,518.51,11,Inkoopboek kosten,16146,AscImp
IK000557,S58981,2016-03-22,751.4,11,Inkoopboek kosten,16147,AscImp
IK000558,S50021,2016-03-23,365.15,11,Inkoopboek kosten,16148,AscImp
IK000559,S50003,2016-03-25,309.24,11,Inkoopboek kosten,16149,AscImp
IK000560,S50037,2016-03-25,164.08,11,Inkoopboek kosten,16150,AscImp
IK000818,S50040,2016-03-27,1421.75,11,Inkoopboek kosten,26596,AscImp
IK000561,S50040,2016-03-30,1724.25,11,Inkoopboek kosten,16151,AscImp
IH000016,S50016,2016-03-30,4265.25,11,Inkoopboek kosten,16434,FiEntry
IH000017,S50033,2016-03-30,2292.95,11,Inkoopboek kosten,16435,FiEntry
IH000019,S51306,2016-03-30,190.88,11,Inkoopboek kosten,16466,FiEivMut
IH000020,S50035,2016-03-30,755.04,11,Inkoopboek kosten,16467,FiEivMut
IK000604,S50090,2016-03-31,24200,11,Inkoopboek kosten,18708,AscImp
IK000562,S50014,2016-04-01,46572.65,11,Inkoopboek kosten,16473,AscImp
IK000563,S50039,2016-04-01,112.15,11,Inkoopboek kosten,16474,AscImp
IK000564,S54994,2016-04-04,440.51,11,Inkoopboek kosten,16475,AscImp
IK000565,S50002,2016-04-05,3638.47,11,Inkoopboek kosten,16476,AscImp
IK000566,S50027,2016-04-05,877.37,11,Inkoopboek kosten,16477,AscImp
IK000567,S58231,2016-04-06,4555.31,11,Inkoopboek kosten,16478,AscImp
IK000568,S50026,2016-04-07,1494.35,11,Inkoopboek kosten,16479,AscImp
IK000569,S50037,2016-04-07,164.08,11,Inkoopboek kosten,16480,AscImp
IK000570,S50035,2016-04-08,887.92,11,Inkoopboek kosten,16481,AscImp
IK000571,S50033,2016-04-11,1284.15,11,Inkoopboek kosten,16482,AscImp
IK000572,S50033,2016-04-11,1917,11,Inkoopboek kosten,16483,AscImp
IK000573,S50500,2016-04-12,348.48,11,Inkoopboek kosten,16484,AscImp
IK000574,S50039,2016-04-19,1506.45,11,Inkoopboek kosten,16485,AscImp
IK000575,S50004,2016-04-19,1996.5,11,Inkoopboek kosten,16486,AscImp
IK000576,S50015,2016-04-22,287.17,11,Inkoopboek kosten,16487,AscImp
IK000577,S50023,2016-04-25,320.77,11,Inkoopboek kosten,16488,AscImp
IK000578,S58981,2016-04-25,751.4,11,Inkoopboek kosten,16489,AscImp
IK000579,S50021,2016-04-25,365.15,11,Inkoopboek kosten,16490,AscImp
IK000580,S50003,2016-04-26,359.72,11,Inkoopboek kosten,16491,AscImp
IK000581,S52412,2016-04-28,623.63,11,Inkoopboek kosten,16492,AscImp
IK000582,S50036,2016-04-28,1403.6,11,Inkoopboek kosten,16493,AscImp
IK000583,S50040,2016-04-28,1240.25,11,Inkoopboek kosten,16494,AscImp
IK000584,S52224,2016-04-29,691.42,11,Inkoopboek kosten,16495,AscImp
IK000605,S50090,2016-04-29,24200,11,Inkoopboek kosten,18709,AscImp
IH000021,S51306,2016-04-28,595.93,11,Inkoopboek kosten,17949,FiEivMut
IH000022,S50035,2016-04-28,700.59,11,Inkoopboek kosten,17950,FiEivMut
IK000585,S50014,2016-05-02,46666.78,11,Inkoopboek kosten,17918,AscImp
IK000586,S54994,2016-05-03,359.43,11,Inkoopboek kosten,17919,AscImp
IK000587,S50015,2016-05-04,373.36,11,Inkoopboek kosten,17920,AscImp
IK000588,S50033,2016-05-06,1542.36,11,Inkoopboek kosten,17921,AscImp
IK000589,S50033,2016-05-09,1886.58,11,Inkoopboek kosten,17922,AscImp
IK000590,S50011,2016-05-12,1208,11,Inkoopboek kosten,17923,AscImp
IK000591,S50026,2016-05-13,1494.35,11,Inkoopboek kosten,17924,AscImp
IK000592,S50035,2016-05-13,887.92,11,Inkoopboek kosten,17925,AscImp
IK000593,S50002,2016-05-16,3638.47,11,Inkoopboek kosten,17926,AscImp
IK000594,S50500,2016-05-16,348.48,11,Inkoopboek kosten,17927,AscImp
IK000595,S58231,2016-05-17,4117.55,11,Inkoopboek kosten,17928,AscImp
IK000596,S50006,2016-05-23,284.35,11,Inkoopboek kosten,17929,AscImp
IK000597,S58981,2016-05-24,751.4,11,Inkoopboek kosten,17930,AscImp
IK000598,S50021,2016-05-24,365.15,11,Inkoopboek kosten,17931,AscImp
IK000599,S50003,2016-05-25,219,11,Inkoopboek kosten,17932,AscImp
IK000600,S50037,2016-05-27,164.08,11,Inkoopboek kosten,17933,AscImp
IK000601,S52224,2016-05-30,711.24,11,Inkoopboek kosten,17934,AscImp
IH000023,S51306,2016-05-30,169.1,11,Inkoopboek kosten,18125,FiEivMut
IH000024,S50035,2016-05-30,525.14,11,Inkoopboek kosten,18126,FiEivMut
IK000606,S50090,2016-05-31,24200,11,Inkoopboek kosten,18710,AscImp
IK000607,S50014,2016-06-01,52129.96,11,Inkoopboek kosten,18711,AscImp
