leveranciernummer,leveranciernaam,contactpersoon,telefoon,email,kvk_nummer,straat,huisnummer,postcode,plaats,land,iban
S51306,Drukkerij Eland b.v.,,020-5485477,druk@eland.afas,,Elandsgracht,123,1016 TT,Amsterdam,NL,NL39RABO0109521471
S51707,Fleur's Bloemen en Planten,,033-4358475,leusden@fleurs.afas,,De Grutterij,1,3831 NE,Leusden,NL,NL51RABO0301254753
S52000,Hewlett packard B.V.,,079-2510000,info@hp.afas,,Engellandlaan,254,2711 DX,Zoetermeer,NL,NL59RABO0171254821
S52224,Hollandia Catering B.V.,,0575-521288,cateren@hollandia.afas,,Waterstraat,13,7201 HM,Zutphen,NL,NL67ABNA0602258774
S52412,HTC Nederland,,026-3328411,info@htc-products-nl.afas,,Utrechtseweg,56,6862 AM,Oosterbeek,NL,NL38INGB0000176167
S54994,Manutan B.V.,,030-2296111,info@manutan.afas,30053885,Elandlaan,2,3734 CP,Den Dolder,NL,NL86ABNA0585226202
S56429,"Kantoorboekhandel ""Lectio duabus sit amet""",,033-4523772,ldsa@leusden.afas,,Asschatterweg,19,3831 JJ,Leusden,NL,NL57ABNA0414622251
S58231,Rijder Autogroep,,073-5512780,info@rijder.afas,,Heesakkerstraat,32,5271 CB,Sint Michielsgestel,NL,NL11ABNA0435487973
S58381,Organisatieburo Tojupaha,,0345-569295,feest@tojupaha.afas,,Bredestraat,1,4194 TR,Meteren,NL,NL78RABO0391205471
S58446,Sony Nederland B.V.,,020-6581911,nederland@sony.afas,,Schipholweg,275,1171 PK,Badhoevedorp,NL,NL14INGB0812422201
S58921,Bouwbedrijf Vermeis v.o.f.,,033-2864574,admin@vermeis.afas,,Nijverheidsweg,36,3931 CX,Woudenberg,NL,NL09KASA0235485705
S58981,VGZ Verzekeringen,,015-6385100,info@vgz.afas,,Laan van van der Gaag,12,2627 BS,Delft,NL,NL84RABO0171254856
S60001,Man and Machine,,(+33) 0155824582,marketing@manandmachine.afas,,Avenue du General de Gaulle,88,93541,Bagnolet Cedex,FR,NL83ABNA0434158747
S60002,Norconsult Informasjonssystemer AS,,(+47) 67571500,post@nois.afas,,Vestfjordgaten,4,1338,Sandvika,NO,NL26INGB0003118878
S60003,Industrial Software Ltd,,(+44) 1709300136,enquiries@IndustrialSoftwareLtd.co.afas,,Manvers Way,45,S63 5DA,Rotherham,GB,NL15RABO0123474965
S60250,Siemens A.G.,,(+49) 214 868570,information@siemens.afasde,,Postfach,23,52342,Leverkussen,DE,DE42100602375421475548
S60350,ICT Components,,(+44) 20 78191180,info@ictcompo.com.uk.afas,,P.O. Box,339,SE1 9LT,London,GB,GB96MIDL40271522859882
S60750,Burgler & Burgler,,(+49) 228 3867930,klaus@bb.afasde,,Rheinstrasse,39,53113,Bonn,DE,DE78100505006651587451
S60751,Technische Unie B.V.,,020  5450345,info@technischeunie.afas,33235014,Bovenkerkerweg,10,1185 XE,Amstelveen,NL,
S60752,Medeco B.V.,,0186 634400,info@medeco.afas,23038479,Alexander Flemingstraat,2,3261 MA,Oud Beijerland,NL,
S60753,Apotheek Farmalife B.V.,,033-2255487,contact@farmalife.afas,,Kerkstraat,12,1234 AB,Loosdrecht,NL,
